repo_name,stars,age_years,releases_count,cbo_median,dit_median,lcom_median,loc_total
JavaGuide,151806,7.370294318959616,0,,,,
hello-algo,116942,2.8747433264887063,9,2.0,1.0,3.0,502
GitHub-Chinese-Top-Charts,102379,6.039698836413415,0,0.0,1.0,0.0,5
java-design-patterns,92709,11.1129363449692,0,1.5,1.0,0.0,87
mall,81613,7.460643394934976,3,5.0,1.0,0.0,3408
spring-boot,78429,12.917180013689254,323,,,,
advanced-java,78264,6.954140999315538,1,0.0,1.0,0.0,5
LeetCodeAnimation,76454,6.787132101300479,0,1.0,1.0,0.0,30
elasticsearch,73828,15.611225188227241,210,,,,
Stirling-PDF,67554,2.64476386036961,138,3.0,1.0,0.0,8815
interviews,64469,8.594113620807667,0,1.0,1.0,0.0,1490
Java,63414,9.177275838466803,0,1.0,1.0,1.0,35070
ghidra,60625,6.55441478439425,46,3.0,1.0,0.5,521
spring-framework,58858,14.781656399726215,343,,,,
guava,51124,11.31006160164271,57,2.0,1.0,0.0,38128
RxJava,48337,12.695414099931554,241,6.0,2.0,0.0,129091
jadx,45534,12.506502395619439,32,3.0,1.0,0.0,1323
dbeaver,45457,9.91375770020534,231,1.5,1.0,0.0,105
termux-app,45180,9.908281998631075,95,5.5,2.0,0.0,4518
JeecgBoot,43909,6.8145106091718,63,,,,
dubbo,41374,13.25119780971937,111,,,,
MPAndroidChart,38105,11.403148528405202,44,10.0,2.0,1.0,6445
tutorials,37261,12.39151266255989,0,,,,
halo,36943,7.498973305954825,227,3.0,1.0,0.0,6742
arthas,36731,7.058179329226557,59,1.0,1.0,1.0,178
hello-algorithm,35781,5.308692676249144,0,,,,
lottie-android,35477,8.950034223134839,60,,,,
NewPipe,35109,10.042436687200547,137,5.0,1.0,1.0,40662
leetcode,34961,7.008898015058179,21,0.0,1.0,0.0,9
glide,34949,12.19712525667351,54,,,,
netty,34441,14.861054072553046,0,4.0,1.0,1.0,22542
spring-boot-demo,33911,7.857631759069131,0,4.5,1.0,1.5,78
AndroidUtilCode,33644,9.138945927446954,117,,,,
easyexcel,33632,7.616700889801506,14,0.0,1.0,0.0,2
zxing,33595,13.938398357289527,31,8.0,1.0,54.0,340
ruoyi-vue-pro,33297,4.65160848733744,46,21.5,1.5,307.5,1922
selenium,33245,12.676249144421629,108,5.0,1.0,1.0,37583
nacos,32063,7.263518138261465,85,2.0,1.0,0.0,246
WxJava,31930,9.702943189596168,30,,,,
kafka,30933,14.097193702943189,0,3.0,1.0,0.0,98874
spring-boot-examples,30606,8.870636550308008,0,2.0,1.0,0.0,10
hutool,30082,11.436002737850787,153,1.0,1.0,1.0,2110
keycloak,29659,12.216290212183436,88,,,,
apollo,29656,9.544147843942506,41,11.0,1.0,0.0,980
canal,29379,12.681724845995893,32,5.0,1.0,3.0,1889
xxl-job,29334,9.809719370294319,39,3.0,1.0,0.0,4786
conductor,29244,1.782340862422998,26,2.0,1.0,0.0,1400
SpringAll,28958,7.383983572895278,0,4.0,1.0,1.0,8
spring-cloud-alibaba,28763,7.797399041752224,48,,,,
druid,28195,13.878165639972622,51,5.0,2.0,3.0,224961
vhr,27946,7.707049965776865,0,10.0,1.0,0.5,50
Telegram,27548,11.901437371663244,95,4.0,1.0,0.0,1597764
JCSprout,27065,7.756331279945243,0,1.0,1.0,0.0,3259
miaosha,26511,7.014373716632443,0,3.0,1.0,1.0,954
awesome-system-design-resources,26061,1.9028062970568105,0,1.0,1.0,0.0,145
incubator-seata,25810,6.7268993839835725,44,,,,
fastjson,25748,13.878165639972622,84,4.0,1.0,1.0,44739
butterknife,25481,12.542094455852157,0,10.0,1.0,24.0,83
toBeTopJavaer,25469,6.9021218343600275,0,,,,
flink,25276,11.285420944558522,0,,,,
SmartRefreshLayout,25154,8.2984257357974,14,2.0,1.0,0.0,6394
openapi-generator,24870,7.356605065023956,73,,,,
proxyee-down,24867,7.901437371663245,49,4.0,1.0,2.0,3299
Mindustry,24828,8.388774811772759,168,8.5,1.0,0.5,2395
EventBus,24765,13.177275838466803,7,3.5,1.5,0.0,103
bazel,24573,11.271731690622861,212,0.5,1.0,1.5,29
SmartTube,24532,5.144421629021219,918,3.0,1.0,0.0,4029
skywalking,24525,9.867214236824093,62,,,,
