file,class,method,variable,usage
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\HurlStack.java,com.android.volley.toolbox.HurlStack$UrlConnectionInputStream,UrlConnectionInputStream/1[java.net.HttpURLConnection],mConnection,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\HurlStack.java,com.android.volley.toolbox.HurlStack$UrlConnectionInputStream,close/0,mConnection,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\HttpHeaderParser.java,com.android.volley.toolbox.HttpHeaderParser,"parseCharset/2[java.util.Map<java.lang.String,java.lang.String>,java.lang.String]",HEADER_CONTENT_TYPE,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\HttpHeaderParser.java,com.android.volley.toolbox.HttpHeaderParser,"parseCharset/1[java.util.Map<java.lang.String,java.lang.String>]",DEFAULT_CONTENT_CHARSET,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\HttpHeaderParser.java,com.android.volley.toolbox.HttpHeaderParser,formatEpochAsRfc1123/1[long],RFC1123_OUTPUT_FORMAT,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\HttpHeaderParser.java,com.android.volley.toolbox.HttpHeaderParser,parseDateAsEpoch/1[java.lang.String],RFC1123_PARSE_FORMAT,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\ExecutorDelivery.java,com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable,run/0,mRequest,6
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\ExecutorDelivery.java,com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable,run/0,mRunnable,2
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\ExecutorDelivery.java,com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable,run/0,mResponse,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\ExecutorDelivery.java,com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable,"ResponseDeliveryRunnable/3[com.android.volley.Request,com.android.volley.Response,java.lang.Runnable]",mRequest,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\ExecutorDelivery.java,com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable,"ResponseDeliveryRunnable/3[com.android.volley.Request,com.android.volley.Response,java.lang.Runnable]",mRunnable,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\ExecutorDelivery.java,com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable,"ResponseDeliveryRunnable/3[com.android.volley.Request,com.android.volley.Response,java.lang.Runnable]",mResponse,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\AsyncRequestQueue.java,com.android.volley.AsyncRequestQueue$Builder,build/0,mExecutorFactory,3
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\AsyncRequestQueue.java,com.android.volley.AsyncRequestQueue$Builder,build/0,mCache,4
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\AsyncRequestQueue.java,com.android.volley.AsyncRequestQueue$Builder,build/0,mResponseDelivery,3
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\AsyncRequestQueue.java,com.android.volley.AsyncRequestQueue$Builder,build/0,mNetwork,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\AsyncRequestQueue.java,com.android.volley.AsyncRequestQueue$Builder,build/0,mAsyncCache,2
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\AsyncRequestQueue.java,com.android.volley.AsyncRequestQueue$Builder,setResponseDelivery/1[com.android.volley.ResponseDelivery],mResponseDelivery,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\AsyncRequestQueue.java,com.android.volley.AsyncRequestQueue$Builder,Builder/1[com.android.volley.AsyncNetwork],mNetwork,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\AsyncRequestQueue.java,com.android.volley.AsyncRequestQueue$Builder,setExecutorFactory/1[com.android.volley.AsyncRequestQueue.ExecutorFactory],mExecutorFactory,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\AsyncRequestQueue.java,com.android.volley.AsyncRequestQueue$Builder,setCache/1[com.android.volley.Cache],mCache,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\AsyncRequestQueue.java,com.android.volley.AsyncRequestQueue$Builder,setAsyncCache/1[com.android.volley.AsyncCache],mAsyncCache,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\ImageLoader.java,com.android.volley.toolbox.ImageLoader$BatchedImageRequest,setError/1[com.android.volley.VolleyError],mError,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\ImageLoader.java,com.android.volley.toolbox.ImageLoader$BatchedImageRequest,getError/0,mError,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\ImageLoader.java,com.android.volley.toolbox.ImageLoader$BatchedImageRequest,addContainer/1[com.android.volley.toolbox.ImageLoader.ImageContainer],mContainers,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\ImageLoader.java,com.android.volley.toolbox.ImageLoader$BatchedImageRequest,removeContainerAndCancelIfNecessary/1[com.android.volley.toolbox.ImageLoader.ImageContainer],mContainers,2
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\ImageLoader.java,com.android.volley.toolbox.ImageLoader$BatchedImageRequest,removeContainerAndCancelIfNecessary/1[com.android.volley.toolbox.ImageLoader.ImageContainer],mRequest,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\ImageLoader.java,com.android.volley.toolbox.ImageLoader$BatchedImageRequest,"BatchedImageRequest/2[com.android.volley.Request<?>,com.android.volley.toolbox.ImageLoader.ImageContainer]",mRequest,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\toolbox\ImageLoader.java,com.android.volley.toolbox.ImageLoader$BatchedImageRequest,"BatchedImageRequest/2[com.android.volley.Request<?>,com.android.volley.toolbox.ImageLoader.ImageContainer]",mContainers,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\CacheDispatcher.java,com.android.volley.CacheDispatcher,run/0,mCache,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\CacheDispatcher.java,com.android.volley.CacheDispatcher,run/0,mQuit,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\CacheDispatcher.java,com.android.volley.CacheDispatcher,run/0,DEBUG,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\CacheDispatcher.java,com.android.volley.CacheDispatcher,"CacheDispatcher/4[java.util.concurrent.BlockingQueue<com.android.volley.Request<?>>,java.util.concurrent.BlockingQueue<com.android.volley.Request<?>>,com.android.volley.Cache,com.android.volley.ResponseDelivery]",mDelivery,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\CacheDispatcher.java,com.android.volley.CacheDispatcher,"CacheDispatcher/4[java.util.concurrent.BlockingQueue<com.android.volley.Request<?>>,java.util.concurrent.BlockingQueue<com.android.volley.Request<?>>,com.android.volley.Cache,com.android.volley.ResponseDelivery]",mCacheQueue,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\CacheDispatcher.java,com.android.volley.CacheDispatcher,"CacheDispatcher/4[java.util.concurrent.BlockingQueue<com.android.volley.Request<?>>,java.util.concurrent.BlockingQueue<com.android.volley.Request<?>>,com.android.volley.Cache,com.android.volley.ResponseDelivery]",mNetworkQueue,1
C:\Users\WanessaDiasCosta\Desktop\lab-experimentacao\Laboratório 02\volley\core\src\main\java\com\android\volley\CacheDispatcher.java,com.android.volley.CacheDispatcher,"CacheDispatcher/4[java.util.concurrent.BlockingQueue<com.android.volley.Request<?>>,java.util.concurrent.BlockingQueue<com.android.volley.Request<?>>,com.android.volley.Cache,com.android.volley.ResponseDelivery]",mWaitingRequestManager,1
